institution,country,national_rank
Harvard University,USA,1
Massachusetts Institute of Technology,USA,2
Stanford University,USA,3
University of Cambridge,United Kingdom,1
California Institute of Technology,USA,4
Princeton University,USA,5
University of Oxford,United Kingdom,2
Yale University,USA,6
Columbia University,USA,7
"University of California, Berkeley",USA,8
University of Chicago,USA,9
Cornell University,USA,10
University of Pennsylvania,USA,11
University of Tokyo,Japan,1
Johns Hopkins University,USA,12
Swiss Federal Institute of Technology in Zurich,Switzerland,1
Kyoto University,Japan,2
Weizmann Institute of Science,Israel,1
"University of California, Los Angeles",USA,13
"University of California, San Diego",USA,14
Rockefeller University,USA,15
Hebrew University of Jerusalem,Israel,2
New York University,USA,16
"University of California, San Francisco",USA,17
University of Wisconsin–Madison,USA,18
University of Illinois at Urbana–Champaign,USA,19
Duke University,USA,20
Imperial College London,United Kingdom,3
University of Texas Southwestern Medical Center,USA,21
University of Texas at Austin,USA,22
University College London,United Kingdom,4
Osaka University,Japan,3
Northwestern University,USA,23
"University of Michigan, Ann Arbor",USA,24
University of Toronto,Canada,1
University of North Carolina at Chapel Hill,USA,25
Washington University in St. Louis,USA,26
University of Utah,USA,27
University of Washington - Seattle,USA,28
"University of California, Santa Barbara",USA,29
McGill University,Canada,2
"Purdue University, West Lafayette",USA,30
Carnegie Mellon University,USA,31
University of Southern California,USA,32
"University of California, Davis",USA,33
University of Colorado Boulder,USA,34
"University of California, Irvine",USA,35
University of Paris-Sud,France,1
"University of Minnesota, Twin Cities",USA,36
University of Arizona,USA,37
Technion – Israel Institute of Technology,Israel,3
"Ohio State University, Columbus",USA,38
University of Rochester,USA,39
École normale supérieure - Paris,France,2
University of Florida,USA,40
Tel Aviv University,Israel,4
Rice University,USA,41
Dartmouth College,USA,42
Vanderbilt University,USA,43
University of Edinburgh,United Kingdom,1
École Polytechnique,France,3
Boston University,USA,44
Pierre-and-Marie-Curie University,France,4
"Pennsylvania State University, University Park",USA,45
University of Geneva,Switzerland,2
Brown University,USA,46
University of British Columbia,Canada,3
"University of Maryland, College Park",USA,47
Swiss Federal Institute of Technology in Lausanne,Switzerland,3
Karolinska Institute,Sweden,1
University of Pittsburgh - Pittsburgh Campus,USA,48
Rutgers University-New Brunswick,USA,49
"Texas A&M University, College Station",USA,50
Nagoya University,Japan,4
Seoul National University,South Korea,1
University of Manchester,United Kingdom,5
Sapienza University of Rome,Italy,1
Case Western Reserve University,USA,51
Tohoku University,Japan,5
Arizona State University,USA,52
Emory University,USA,53
Ruprecht Karl University of Heidelberg,Germany,1
Ludwig Maximilian University of Munich,Germany,2
University of Virginia,USA,54
Leiden University,Netherlands,1
Tufts University,USA,55
Georgia Institute of Technology,USA,56
University of Zurich,Switzerland,4
University of Helsinki,Finland,1
Technical University of Munich,Germany,3
University of Oslo,Norway,1
University of Queensland,Australia,1
University of Copenhagen,Denmark,1
University of Sydney,Australia,2
Williams College,USA,57
University of Texas MD Anderson Cancer Center,USA,58
University of Nottingham,United Kingdom,6
University of Bristol,United Kingdom,7
Utrecht University,Netherlands,2
Mines ParisTech,France,5
Harvard University,USA,1
Stanford University,USA,2
University of Oxford,United Kingdom,1
Massachusetts Institute of Technology,USA,3
University of Cambridge,United Kingdom,2
Columbia University,USA,4
"University of California, Berkeley",USA,5
Princeton University,USA,6
University of Chicago,USA,7
Yale University,USA,8
California Institute of Technology,USA,9
University of Pennsylvania,USA,10
Cornell University,USA,11
University of Tokyo,Japan,1
Kyoto University,Japan,2
"University of California, Los Angeles",USA,12
Johns Hopkins University,USA,13
Swiss Federal Institute of Technology in Zurich,Switzerland,1
New York University,USA,14
"University of California, San Diego",USA,15
Hebrew University of Jerusalem,Israel,1
"University of California, San Francisco",USA,16
University of Wisconsin–Madison,USA,17
University of Illinois at Urbana–Champaign,USA,18
Duke University,USA,19
University of Texas at Austin,USA,20
Imperial College London,United Kingdom,3
Northwestern University,USA,21
University of Toronto,Canada,1
University College London,United Kingdom,4
University of Washington - Seattle,USA,22
"University of Michigan, Ann Arbor",USA,23
Weizmann Institute of Science,Israel,2
University of North Carolina at Chapel Hill,USA,24
Osaka University,Japan,3
University of Paris-Sud,France,1
"University of California, Santa Barbara",USA,25
"Purdue University, West Lafayette",USA,26
University of Southern California,USA,27
Seoul National University,South Korea,1
University of Colorado Boulder,USA,28
University of Utah,USA,29
Rutgers University-New Brunswick,USA,30
"University of Minnesota, Twin Cities",USA,31
University of Edinburgh,United Kingdom,5
University of Texas Southwestern Medical Center,USA,32
McGill University,Canada,2
Pierre-and-Marie-Curie University,France,2
Rockefeller University,USA,33
"Pennsylvania State University, University Park",USA,34
Carnegie Mellon University,USA,35
"Ohio State University, Columbus",USA,36
"University of California, Davis",USA,37
Boston University,USA,38
University of Florida,USA,39
University of Geneva,Switzerland,2
Tel Aviv University,Israel,3
University of British Columbia,Canada,3
"University of Maryland, College Park",USA,40
Karolinska Institute,Sweden,1
Vanderbilt University,USA,41
Sapienza University of Rome,Italy,1
Washington University in St. Louis,USA,42
École normale supérieure - Paris,France,3
"University of California, Irvine",USA,43
Technion – Israel Institute of Technology,Israel,4
