national_rank,country
1,USA
2,USA
3,USA
1,United Kingdom
4,USA
5,USA
2,United Kingdom
6,USA
7,USA
8,USA
9,USA
10,USA
11,USA
1,Japan
12,USA
1,Switzerland
2,Japan
1,Israel
13,USA
14,USA
15,USA
2,Israel
16,USA
17,USA
18,USA
19,USA
20,USA
3,United Kingdom
21,USA
22,USA
4,United Kingdom
3,Japan
23,USA
24,USA
1,Canada
25,USA
26,USA
27,USA
28,USA
29,USA
2,Canada
30,USA
31,USA
32,USA
33,USA
34,USA
35,USA
1,France
36,USA
37,USA
3,Israel
38,USA
39,USA
2,France
40,USA
4,Israel
41,USA
42,USA
43,USA
1,United Kingdom
3,France
44,USA
4,France
45,USA
2,Switzerland
46,USA
3,Canada
47,USA
3,Switzerland
1,Sweden
48,USA
49,USA
50,USA
4,Japan
1,South Korea
5,United Kingdom
1,Italy
51,USA
5,Japan
52,USA
53,USA
1,Germany
2,Germany
54,USA
1,Netherlands
55,USA
56,USA
4,Switzerland
1,Finland
3,Germany
1,Norway
1,Australia
1,Denmark
2,Australia
57,USA
58,USA
6,United Kingdom
7,United Kingdom
2,Netherlands
5,France
1,USA
2,USA
1,United Kingdom
3,USA
2,United Kingdom
4,USA
5,USA
6,USA
7,USA
8,USA
9,USA
10,USA
11,USA
1,Japan
2,Japan
12,USA
13,USA
1,Switzerland
14,USA
15,USA
1,Israel
16,USA
17,USA
18,USA
19,USA
20,USA
3,United Kingdom
21,USA
1,Canada
4,United Kingdom
22,USA
23,USA
2,Israel
24,USA
3,Japan
1,France
25,USA
26,USA
27,USA
1,South Korea
28,USA
29,USA
30,USA
31,USA
5,United Kingdom
32,USA
2,Canada
2,France
33,USA
34,USA
35,USA
36,USA
37,USA
38,USA
39,USA
2,Switzerland
3,Israel
3,Canada
40,USA
1,Sweden
41,USA
1,Italy
42,USA
3,France
43,USA
4,Israel
1,Germany
1,Denmark
44,USA
4,Japan
45,USA
6,United Kingdom
46,USA
3,Switzerland
7,United Kingdom
47,USA
48,USA
49,USA
2,Germany
50,USA
1,Norway
51,USA
4,Switzerland
1,Netherlands
52,USA
4,France
1,Singapore
53,USA
54,USA
1,Russia
5,Japan
1,Australia
55,USA
56,USA
6,Japan
2,Australia
4,Canada
1,Finland
5,France
57,USA
1,USA
2,USA
3,USA
1,United Kingdom
2,United Kingdom
4,USA
5,USA
6,USA
7,USA
8,USA
9,USA
10,USA
1,Japan
11,USA
12,USA
2,Japan
13,USA
1,Switzerland
14,USA
15,USA
16,USA
1,Israel
17,USA
1,South Korea
18,USA
19,USA
20,USA
21,USA
22,USA
3,United Kingdom
1,Canada
23,USA
24,USA
3,Japan
1,France
2,France
25,USA
2,Israel
4,United Kingdom
4,Japan
26,USA
2,Canada
5,Japan
27,USA
28,USA
29,USA
30,USA
1,Russia
31,USA
3,France
32,USA
33,USA
34,USA
35,USA
1,China
5,United Kingdom
36,USA
37,USA
38,USA
39,USA
3,Canada
40,USA
41,USA
42,USA
1,Taiwan
43,USA
44,USA
4,France
6,United Kingdom
45,USA
46,USA
6,Japan
1,Sweden
1,Singapore
2,Switzerland
47,USA
48,USA
49,USA
1,Denmark
50,USA
51,USA
1,Germany
52,USA
53,USA
3,Switzerland
3,Israel
2,China
1,Netherlands
2,Germany
7,United Kingdom
1,Italy
7,Japan
4,Switzerland
1,Belgium
1,Australia
8,Japan
2,Australia
3,Germany
4,Germany
2,Sweden
2,Netherlands
54,USA
4,Canada
55,USA
56,USA
57,USA
2,South Korea
58,USA
4,Israel
1,Finland
1,Norway
59,USA
60,USA
1,South Africa
3,Australia
3,Sweden
3,Netherlands
61,USA
2,Denmark
1,Spain
62,USA
4,Netherlands
8,United Kingdom
4,Sweden
63,USA
64,USA
5,Netherlands
3,South Korea
6,Netherlands
4,South Korea
1,Brazil
9,Japan
65,USA
5,Canada
5,Germany
2,Belgium
9,United Kingdom
66,USA
3,Belgium
5,France
6,Canada
10,United Kingdom
67,USA
7,Netherlands
68,USA
11,United Kingdom
12,United Kingdom
2,Singapore
4,Australia
10,Japan
13,United Kingdom
7,Canada
11,Japan
5,Switzerland
1,Hong Kong
69,USA
6,Germany
7,Germany
8,Germany
5,Australia
9,Germany
70,USA
71,USA
72,USA
73,USA
8,Canada
6,France
5,Sweden
10,Germany
6,Australia
74,USA
75,USA
76,USA
5,South Korea
77,USA
7,France
78,USA
14,United Kingdom
11,Germany
79,USA
2,Italy
80,USA
81,USA
3,Italy
82,USA
6,South Korea
6,Sweden
12,Japan
3,China
15,United Kingdom
4,Belgium
83,USA
84,USA
6,Switzerland
4,China
85,USA
