Score_by_Germany,institution
1,Ruprecht Karl University of Heidelberg
2,Ludwig Maximilian University of Munich
3,Technical University of Munich
4,University of Bonn
5,Albert Ludwig University of Freiburg
6,Humboldt University of Berlin
7,Free University of Berlin
8,University of Tübingen
9,Goethe University Frankfurt
10,University of Göttingen
11,University of Hamburg
12,University of Cologne
13,University of Münster
14,University of Erlangen-Nuremberg
15,Karlsruhe Institute of Technology
16,Julius-Maximilian's University of Würzburg
17,University of Kiel
18,Dresden University of Technology
19,RWTH Aachen University
20,Johannes Gutenberg University of Mainz
21,University of Düsseldorf
22,University of Ulm
23,Hannover Medical School
24,Technical University of Berlin
25,Leipzig University
26,University of Stuttgart
27,University of Duisburg-Essen
28,Ruhr University Bochum
29,Darmstadt University of Technology
30,University of Regensburg
31,University of Marburg
32,University of Jena
33,Justus Liebig University Giessen
34,Saarland University
35,Technical University of Dortmund
36,University of Konstanz
37,University of Rostock
38,Bielefeld University
39,University of Hanover
40,Otto-von-Guericke University Magdeburg
41,Martin Luther University of Halle-Wittenberg
42,University of Potsdam
43,University of Bayreuth
44,University of Bremen
45,Braunschweig University of Technology
46,Kaiserslautern University of Technology
47,University of Augsburg
48,University of Lübeck
49,University of Hohenheim
50,University of Greifswald
51,University of Siegen
52,University of Mannheim
53,University of Osnabrück
54,Chemnitz University of Technology
55,University of Oldenburg
56,Jacobs University Bremen
